Year,Period,Value
2025,Q02,1.0
2025,Q01,6.9
2024,Q04,3.8
2024,Q03,-1.5
2024,Q02,-0.9
2024,Q01,8.3
2023,Q04,1.2
2023,Q03,1.0
2023,Q02,3.1
2023,Q01,3.0
2022,Q04,-2.2
2022,Q03,7.4
2022,Q02,3.8
2022,Q01,6.8
2021,Q04,2.9
2021,Q03,8.0
2021,Q02,6.4
2021,Q01,-2.4
2020,Q04,14.1
2020,Q03,-11.6
2020,Q02,3.9
2020,Q01,11.8
2019,Q04,3.2
2019,Q03,-4.2
2019,Q02,-2.4
2019,Q01,6.2
2018,Q04,2.1
2018,Q03,2.8
2018,Q02,2.1
2018,Q01,1.1
2017,Q04,2.4
2017,Q03,1.9
2017,Q02,2.3
2017,Q01,3.4
2016,Q04,1.6
2016,Q03,0.4
2016,Q02,1.2
2016,Q01,-1.5
