Year,Period,Value
2025,Q02,2.4
2025,Q01,-1.8
2024,Q04,1.7
2024,Q03,2.9
2024,Q02,2.1
2024,Q01,1.6
2023,Q04,3.5
2023,Q03,4.7
2023,Q02,3.4
2023,Q01,0.7
2022,Q04,2.7
2022,Q03,0.0
2022,Q02,-3.3
2022,Q01,-4.9
2021,Q04,2.9
2021,Q03,-2.3
2021,Q02,0.1
2021,Q01,3.0
2020,Q04,-3.0
2020,Q03,6.6
2020,Q02,20.9
2020,Q01,-1.8
2019,Q04,3.8
2019,Q03,4.6
2019,Q02,2.5
2019,Q01,3.4
2018,Q04,-0.7
2018,Q03,1.2
2018,Q02,0.1
2018,Q01,1.3
2017,Q04,3.0
2017,Q03,3.3
2017,Q02,0.2
2017,Q01,0.7
2016,Q04,2.7
2016,Q03,1.4
2016,Q02,0.3
2016,Q01,1.7
