Year,Period,Value
2025,M03,159398
2025,M02,159170
2025,M01,159053
2024,M12,158942
2024,M11,158619
2024,M10,158358
2024,M09,158314
2024,M08,158074
2024,M07,158003
2024,M06,157915
2024,M05,157828
2024,M04,157635
2024,M03,157517
2024,M02,157271
2024,M01,157049
2023,M12,156930
2023,M11,156661
2023,M10,156520
2023,M09,156334
2023,M08,156176
2023,M07,156019
2023,M06,155871
2023,M05,155614
2023,M04,155387
2023,M03,155171
2023,M02,155086
2023,M01,154780
2022,M12,154336
2022,M11,154210
2022,M10,153913
2022,M09,153513
2022,M08,153286
2022,M07,153049
2022,M06,152353
2022,M05,151892
2022,M04,151651
2022,M03,151346
2022,M02,150875
2022,M01,150006
2021,M12,149781
2021,M11,149206
2021,M10,148569
2021,M09,147712
2021,M08,147246
2021,M07,146759
2021,M06,145828
2021,M05,145032
2021,M04,144611
2021,M03,144246
2021,M02,143422
2021,M01,142913
2020,M12,142548
2020,M11,142731
2020,M10,142461
2020,M09,141770
2020,M08,140819
2020,M07,139255
2020,M06,137671
2020,M05,133040
2020,M04,130424
2020,M03,150895
2020,M02,152292
2020,M01,152031
2019,M12,151795
2019,M11,151668
2019,M10,151460
2019,M09,151365
2019,M08,151171
2019,M07,150936
2019,M06,150839
2019,M05,150621
2019,M04,150593
2019,M03,150295
2019,M02,150065
2019,M01,150059
2018,M12,149809
2018,M11,149617
2018,M10,149526
2018,M09,149358
2018,M08,149279
2018,M07,149020
2018,M06,148959
2018,M05,148740
2018,M04,148422
2018,M03,148280
2018,M02,148054
2018,M01,147660
2017,M12,147523
2017,M11,147373
2017,M10,147150
2017,M09,147007
2017,M08,146919
2017,M07,146772
2017,M06,146583
2017,M05,146380
2017,M04,146174
2017,M03,145969
2017,M02,145848
2017,M01,145628
2016,M12,145408
2016,M11,145183
2016,M10,145066
2016,M09,144967
2016,M08,144662
2016,M07,144520
2016,M06,144146
2016,M05,143900
2016,M04,143855
2016,M03,143662
2016,M02,143407
2016,M01,143210
